run_name,fold,train_size,val_size,balanced_accuracy,recall,precision,f1,accuracy,random_state,K,T,eta,v_init,track_path,track_vweights,track_metrics,vweight_0,vweight_1,vweight_2,prototype_indices,prototypes_label_0,prototypes_label_1,profile_name,K_0,K_1
C0_secondary_k0_4_k1_6,0,1822,203,0.5820707070707071,0.75,0.5735294117647058,0.65,0.5862068965517241,42,"{0: 4, 1: 6}",150,0.0,[0.54545455 0.27972028 0.17482517],True,True,True,0.5454545454545454,0.27972027972027974,0.1748251748251748,"[1093, 246, 543, 1674, 828, 1526, 1118, 1208, 1062, 404]","[1093, 246, 543, 1674]","[828, 1526, 1118, 1208, 1062, 404]",C0_secondary,4,6
C0_secondary_k0_4_k1_6,1,1822,203,0.6251456876456877,0.6442307692307693,0.6320754716981132,0.638095238095238,0.625615763546798,42,"{0: 4, 1: 6}",150,0.0,[0.54545455 0.27972028 0.17482517],True,True,True,0.5454545454545454,0.27972027972027974,0.1748251748251748,"[559, 1111, 540, 257, 1559, 757, 1571, 264, 1626, 1526]","[559, 1111, 540, 257]","[1559, 757, 1571, 264, 1626, 1526]",C0_secondary,4,6
C0_secondary_k0_4_k1_6,2,1822,203,0.5703185703185704,0.6153846153846154,0.5765765765765766,0.5953488372093023,0.5714285714285714,42,"{0: 4, 1: 6}",150,0.0,[0.54545455 0.27972028 0.17482517],True,True,True,0.5454545454545454,0.27972027972027974,0.1748251748251748,"[1729, 1215, 1513, 845, 826, 1291, 32, 426, 1521, 161]","[1729, 1215, 1513, 845]","[826, 1291, 32, 426, 1521, 161]",C0_secondary,4,6
C0_secondary_k0_4_k1_6,3,1822,203,0.5933857808857809,0.7019230769230769,0.5887096774193549,0.6403508771929826,0.5960591133004927,42,"{0: 4, 1: 6}",150,0.0,[0.54545455 0.27972028 0.17482517],True,True,True,0.5454545454545454,0.27972027972027974,0.1748251748251748,"[1518, 513, 1086, 1682, 419, 827, 400, 268, 772, 1298]","[1518, 513, 1086, 1682]","[419, 827, 400, 268, 772, 1298]",C0_secondary,4,6
C0_secondary_k0_4_k1_6,4,1822,203,0.5414724164724165,0.5576923076923077,0.5523809523809524,0.5550239234449761,0.541871921182266,42,"{0: 4, 1: 6}",150,0.0,[0.54545455 0.27972028 0.17482517],True,True,True,0.5454545454545454,0.27972027972027974,0.1748251748251748,"[1358, 1211, 1687, 1135, 960, 515, 1210, 747, 835, 405]","[1358, 1211, 1687, 1135]","[960, 515, 1210, 747, 835, 405]",C0_secondary,4,6
C0_secondary_k0_4_k1_6,5,1823,202,0.5381671899529042,0.5865384615384616,0.5495495495495496,0.5674418604651164,0.5396039603960396,42,"{0: 4, 1: 6}",150,0.0,[0.54545455 0.27972028 0.17482517],True,True,True,0.5454545454545454,0.27972027972027974,0.1748251748251748,"[541, 329, 1139, 278, 1519, 30, 155, 427, 1275, 817]","[541, 329, 1139, 278]","[1519, 30, 155, 427, 1275, 817]",C0_secondary,4,6
C0_secondary_k0_4_k1_6,6,1823,202,0.5874215070643642,0.6442307692307693,0.5929203539823009,0.6175115207373272,0.5891089108910891,42,"{0: 4, 1: 6}",150,0.0,[0.54545455 0.27972028 0.17482517],True,True,True,0.5454545454545454,0.27972027972027974,0.1748251748251748,"[1521, 339, 1732, 869, 1659, 1529, 1309, 33, 851, 1133]","[1521, 339, 1732, 869]","[1659, 1529, 1309, 33, 851, 1133]",C0_secondary,4,6
C0_secondary_k0_4_k1_6,7,1823,202,0.5718210361067504,0.6538461538461539,0.576271186440678,0.6126126126126126,0.5742574257425742,42,"{0: 4, 1: 6}",150,0.0,[0.54545455 0.27972028 0.17482517],True,True,True,0.5454545454545454,0.27972027972027974,0.1748251748251748,"[1515, 859, 528, 1234, 1162, 1523, 1161, 394, 1625, 755]","[1515, 859, 528, 1234]","[1162, 1523, 1161, 394, 1625, 755]",C0_secondary,4,6
C0_secondary_k0_4_k1_6,8,1823,202,0.5255467294302245,0.4854368932038835,0.5376344086021505,0.510204081632653,0.5247524752475248,42,"{0: 4, 1: 6}",150,0.0,[0.54545455 0.27972028 0.17482517],True,True,True,0.5454545454545454,0.27972027972027974,0.1748251748251748,"[1607, 867, 560, 1232, 1650, 1574, 1143, 1533, 812, 1629]","[1607, 867, 560, 1232]","[1650, 1574, 1143, 1533, 812, 1629]",C0_secondary,4,6
C0_secondary_k0_4_k1_6,9,1823,202,0.512307541433755,0.6407766990291263,0.5196850393700787,0.5739130434782608,0.5148514851485149,42,"{0: 4, 1: 6}",150,0.0,[0.54545455 0.27972028 0.17482517],True,True,True,0.5454545454545454,0.27972027972027974,0.1748251748251748,"[255, 1104, 857, 529, 611, 1172, 226, 1132, 839, 1560]","[255, 1104, 857, 529]","[611, 1172, 226, 1132, 839, 1560]",C0_secondary,4,6
